frame,time_s,x_red,y_red,x_green,y_green
143,2.3855747126436784,860,642,,
144,2.402257053291536,824,625,565.0,554.0
145,2.418939393939394,786,601,560.0,475.0
146,2.4356217345872517,748,571,573.0,373.0
147,2.45230407523511,716,535,594.0,297.0
148,2.4689864158829677,689,499,612.0,244.0
149,2.4856687565308255,668,460,633.0,195.0
150,2.5023510971786833,654,426,652.0,156.0
151,2.519033437826541,644,394,667.0,124.0
152,2.5357157784743993,639,366,682.0,96.0
153,2.552398119122257,637,343,697.0,76.0
154,2.569080459770115,635,326,710.0,62.0
155,2.5857628004179727,635,314,724.0,53.0
156,2.602445141065831,635,308,736.0,52.0
157,2.6191274817136887,636,307,747.0,56.0
158,2.6358098223615465,636,312,759.0,68.0
159,2.6524921630094043,635,321,770.0,83.0
160,2.6691745036572625,637,337,781.0,104.0
161,2.6858568443051203,638,359,792.0,132.0
162,2.702539184952978,642,386,801.0,164.0
163,2.719221525600836,651,417,810.0,197.0
164,2.735903866248694,665,455,820.0,233.0
165,2.752586206896552,687,495,831.0,270.0
166,2.7692685475444097,717,535,842.0,301.0
167,2.7859508881922674,758,577,854.0,331.0
168,2.8026332288401252,803,612,867.0,358.0
169,2.8193155694879835,864,639,878.0,381.0
170,2.8359979101358412,929,660,887.0,403.0
171,2.852680250783699,996,668,892.0,428.0
172,2.869362591431557,1064,659,895.0,459.0
173,2.886044932079415,1132,637,904.0,506.0
174,2.902727272727273,1189,606,928.0,571.0
175,2.9194096133751306,1229,574,974.0,640.0
176,2.9360919540229884,1260,542,1047.0,697.0
177,2.9527742946708466,1279,518,,
178,2.9694566353187044,1286,509,,
179,2.986138975966562,1283,513,,
180,3.00282131661442,1274,527,,
181,3.0195036572622778,1265,538,,
182,3.036185997910136,1262,542,,
183,3.0528683385579938,1264,539,,
184,3.0695506792058516,1271,530,,
185,3.0862330198537093,1281,517,,
186,3.1029153605015676,1291,502,,
187,3.1195977011494254,1296,493,1027.0,476.0
188,3.136280041797283,1296,493,1063.0,617.0
189,3.152962382445141,1290,505,,
190,3.169644723092999,1272,530,,
191,3.186327063740857,1237,567,1322.0,795.0
192,3.2030094043887147,1189,605,1395.0,736.0
193,3.2196917450365725,1142,632,,
194,3.2363740856844307,1101,649,1346.0,556.0
195,3.2530564263322885,1066,659,,
196,3.2697387669801463,1036,665,1164.0,430.0
197,3.286421107628004,1009,668,,
198,3.303103448275862,979,668,885.0,421.0
199,3.31978578892372,951,666,,
200,3.336468129571578,914,658,,
201,3.3531504702194357,875,648,614.0,632.0
202,3.3698328108672935,831,627,,
203,3.3865151515151517,779,596,636.0,805.0
204,3.4031974921630095,738,562,738.0,810.0
205,3.4198798328108673,713,534,813.0,770.0
206,3.436562173458725,699,514,887.0,695.0
207,3.4532445141065833,694,507,948.0,578.0
208,3.469926854754441,695,509,961.0,502.0
209,3.486609195402299,702,518,,
210,3.5032915360501566,712,532,840.0,300.0
211,3.519973876698015,723,546,769.0,278.0
212,3.5366562173458727,733,557,,
213,3.5533385579937304,739,562,541.0,378.0
214,3.5700208986415882,740,564,,
215,3.586703239289446,736,560,471.0,589.0
216,3.6033855799373042,728,552,,
217,3.620067920585162,723,547,,
218,3.63675026123302,726,550,766.0,800.0
219,3.6534326018808776,740,564,887.0,774.0
220,3.670114942528736,764,584,,
221,3.6867972831765936,802,610,1045.0,681.0
222,3.7034796238244514,845,636,1106.0,623.0
223,3.720161964472309,895,653,1149.0,582.0
224,3.7368443051201674,955,665,1186.0,549.0
225,3.753526645768025,1015,667,1232.0,523.0
226,3.770208986415883,1068,657,1280.0,506.0
227,3.7868913270637408,1120,641,1330.0,494.0
228,3.803573667711599,1168,619,1391.0,489.0
229,3.820256008359457,1205,594,1446.0,493.0
230,3.8369383490073146,1242,564,1492.0,508.0
231,3.8536206896551723,1273,528,1527.0,536.0
232,3.87030303030303,1298,488,1536.0,569.0
233,3.8869853709508884,1318,450,1520.0,594.0
234,3.903667711598746,1333,415,1482.0,611.0
235,3.920350052246604,1341,388,1439.0,618.0
236,3.9370323928944617,1345,368,1390.0,617.0
237,3.95371473354232,1346,356,1338.0,613.0
238,3.9703970741901777,1346,352,1288.0,607.0
239,3.9870794148380355,1345,355,1243.0,598.0
240,4.003761755485893,1345,365,1195.0,587.0
241,4.020444096133751,1341,382,1154.0,575.0
242,4.037126436781609,1335,406,1118.0,564.0
243,4.0538087774294675,1324,435,1083.0,555.0
244,4.070491118077325,1309,469,1054.0,550.0
245,4.087173458725183,1288,506,1027.0,552.0
246,4.103855799373041,1260,542,998.0,561.0
247,4.120538140020899,1229,574,965.0,578.0
248,4.1372204806687565,1191,606,929.0,601.0
249,4.153902821316614,1144,632,884.0,637.0
250,4.170585161964472,1097,650,836.0,678.0
251,4.18726750261233,1046,662,793.0,728.0
252,4.2039498432601885,988,668,759.0,786.0
253,4.220632183908046,927,662,747.0,841.0
254,4.237314524555904,863,643,765.0,871.0
255,4.253996865203762,803,612,802.0,861.0
256,4.27067920585162,762,581,837.0,820.0
257,4.287361546499477,728,549,859.0,767.0
258,4.304043887147335,702,516,875.0,708.0
259,4.320726227795193,682,487,886.0,653.0
260,4.337408568443052,668,462,894.0,606.0
261,4.3540909090909095,658,439,901.0,555.0
262,4.370773249738767,653,423,906.0,514.0
263,4.387455590386625,649,411,911.0,475.0
264,4.404137931034483,649,403,915.0,438.0
265,4.420820271682341,647,401,917.0,410.0
266,4.437502612330198,648,405,919.0,385.0
267,4.454184952978056,651,415,,
268,4.470867293625914,653,428,,
269,4.487549634273773,662,448,,
270,4.50423197492163,674,472,,
271,4.520914315569488,689,499,889.0,328.0
272,4.537596656217346,711,529,,
273,4.554278996865204,737,558,880.0,339.0
274,4.5709613375130616,768,587,870.0,346.0
275,4.587643678160919,808,617,860.0,359.0
276,4.604326018808777,854,639,851.0,379.0
277,4.621008359456636,905,655,843.0,401.0
278,4.637690700104494,957,665,832.0,435.0
279,4.654373040752351,1014,665,824.0,488.0
280,4.671055381400209,1063,659,826.0,552.0
281,4.687737722048067,1107,648,845.0,620.0
282,4.704420062695925,1143,633,902.0,723.0
283,4.7211024033437825,1166,622,,
284,4.73778474399164,1175,616,,
285,4.754467084639498,1173,618,,
286,4.771149425287357,1163,624,,
287,4.7878317659352145,1155,628,,
288,4.804514106583072,1156,627,,
289,4.82119644723093,1165,623,,
290,4.837878787878788,1178,615,1305.0,386.0
291,4.854561128526646,1197,602,1209.0,337.0
292,4.8712434691745035,1217,586,,
293,4.887925809822361,1235,570,,
294,4.90460815047022,1250,555,1000.0,469.0
295,4.921290491118078,1258,547,995.0,572.0
296,4.9379728317659355,1259,546,1016.0,645.0
297,4.954655172413793,1253,553,1086.0,748.0
298,4.971337513061651,1237,568,1159.0,808.0
299,4.988019853709509,1210,591,,
300,5.004702194357367,1169,619,1321.0,807.0
301,5.021384535005224,1125,640,1359.0,731.0
302,5.038066875653082,1090,653,1349.0,653.0
303,5.054749216300941,1059,661,1298.0,561.0
304,5.071431556948799,1032,665,1224.0,487.0
305,5.088113897596656,1011,668,1154.0,446.0
306,5.104796238244514,990,668,1044.0,411.0
307,5.121478578892372,971,668,935.0,406.0
308,5.13816091954023,951,666,858.0,421.0
309,5.154843260188088,930,662,751.0,471.0
310,5.171525600835945,906,657,675.0,537.0
311,5.188207941483804,878,649,621.0,607.0
312,5.204890282131662,843,636,595.0,699.0
313,5.22157262277952,808,617,622.0,794.0
314,5.238254963427377,772,589,687.0,823.0
315,5.254937304075235,745,568,782.0,817.0
316,5.271619644723093,731,554,868.0,763.0
317,5.288301985370951,724,546,921.0,711.0
318,5.3049843260188085,724,547,971.0,635.0
319,5.321666666666666,731,554,994.0,564.0
320,5.338349007314525,745,569,996.0,489.0
321,5.355031347962383,766,586,970.0,415.0
322,5.371713688610241,790,604,911.0,367.0
323,5.388396029258098,819,622,853.0,360.0
324,5.405078369905956,850,639,783.0,383.0
325,5.421760710553814,878,649,719.0,440.0
326,5.438443051201672,903,656,679.0,512.0
327,5.4551253918495295,923,661,662.0,626.0
328,5.471807732497388,933,664,,
329,5.488490073145246,934,664,,
330,5.505172413793104,926,662,,
331,5.5218547544409615,920,661,,
332,5.538537095088819,922,661,,
333,5.555219435736677,937,664,1177.0,743.0
334,5.571901776384535,963,667,1222.0,630.0
335,5.588584117032393,994,667,1231.0,563.0
336,5.6052664576802504,1034,664,1223.0,490.0
337,5.621948798328109,1075,657,1203.0,430.0
338,5.638631138975967,1112,646,1179.0,395.0
339,5.655313479623825,1151,629,1152.0,367.0
340,5.6719958202716825,1184,608,1128.0,353.0
341,5.68867816091954,1212,590,1108.0,348.0
342,5.705360501567398,1236,570,1094.0,355.0
343,5.722042842215256,1256,550,,
344,5.738725182863114,1271,532,,
345,5.755407523510971,1282,516,1042.0,400.0
346,5.77208986415883,1290,503,1037.0,422.0
347,5.788772204806688,1295,496,1033.0,451.0
348,5.805454545454546,1297,492,1032.0,489.0
349,5.822136886102403,1297,493,1034.0,531.0
350,5.838819226750261,1294,499,1039.0,574.0
351,5.855501567398119,1287,509,1048.0,623.0
352,5.872183908045977,1277,524,1063.0,677.0
353,5.888866248693835,1263,542,1080.0,726.0
354,5.905548589341693,1243,563,1103.0,778.0
355,5.922230929989551,1215,586,1138.0,827.0
356,5.938913270637409,1181,612,1177.0,859.0
357,5.955595611285267,1132,637,1217.0,864.0
358,5.972277951933124,1081,655,1244.0,835.0
359,5.988960292580982,1033,664,1244.0,791.0
360,6.00564263322884,984,666,1226.0,742.0
361,6.022324973876698,942,664,1193.0,692.0
362,6.0390073145245555,902,655,1160.0,656.0
363,6.055689655172414,863,643,1124.0,624.0
364,6.072371995820272,829,628,1087.0,599.0
365,6.08905433646813,799,610,1060.0,584.0
366,6.1057366771159876,770,590,1033.0,573.0
367,6.122419017763845,745,569,1010.0,569.0
368,6.139101358411703,726,549,991.0,571.0
369,6.155783699059561,709,528,969.0,579.0
370,6.172466039707419,697,512,948.0,593.0
371,6.189148380355277,688,498,928.0,610.0
372,6.205830721003135,683,488,903.0,633.0
373,6.222513061650993,681,484,876.0,658.0
374,6.239195402298851,681,485,847.0,686.0
375,6.2558777429467085,683,490,815.0,713.0
376,6.272560083594566,689,501,779.0,743.0
377,6.289242424242424,701,517,744.0,768.0
378,6.305924764890282,718,539,702.0,791.0
379,6.32260710553814,742,563,656.0,802.0
380,6.339289446185998,772,589,623.0,796.0
381,6.355971786833856,810,616,603.0,770.0
382,6.372654127481714,845,637,609.0,730.0
383,6.389336468129572,885,651,629.0,696.0
384,6.4060188087774295,927,661,666.0,666.0
385,6.422701149425287,969,666,708.0,642.0
386,6.439383490073145,1008,667,747.0,627.0
387,6.456065830721003,1049,663,789.0,623.0
388,6.4727481713688615,1089,654,830.0,627.0
389,6.489430512016719,1124,641,863.0,637.0
390,6.506112852664577,1160,625,901.0,657.0
391,6.522795193312435,1190,607,941.0,683.0
392,6.539477533960293,1213,590,984.0,711.0
393,6.55615987460815,1232,574,1040.0,744.0
394,6.572842215256008,1245,562,1105.0,774.0
395,6.589524555903866,1250,556,1173.0,794.0
396,6.606206896551724,1251,555,1246.0,802.0
397,6.6228892371995824,1245,561,1340.0,785.0
398,6.63957157784744,1233,572,1403.0,748.0
399,6.656253918495298,1217,586,1443.0,686.0
400,6.672936259143156,1202,599,1454.0,617.0
401,6.689618599791014,1189,608,1440.0,553.0
402,6.706300940438871,1175,616,1403.0,491.0
403,6.722983281086729,1163,624,1353.0,443.0
404,6.739665621734587,1150,631,1303.0,415.0
405,6.756347962382446,1137,637,1241.0,395.0
406,6.773030303030303,1121,643,1179.0,387.0
407,6.789712643678161,1105,649,1122.0,387.0
408,6.806394984326019,1087,655,1064.0,392.0
409,6.823077324973877,1066,660,,
410,6.8397596656217345,1045,663,947.0,420.0
411,6.856442006269592,1023,667,885.0,444.0
412,6.87312434691745,998,669,823.0,476.0
413,6.889806687565308,976,668,770.0,509.0
414,6.906489028213167,951,665,715.0,556.0
415,6.923171368861024,925,662,668.0,618.0
416,6.939853709508882,897,654,641.0,682.0
417,6.95653605015674,867,644,633.0,746.0
418,6.973218390804598,833,630,657.0,814.0
419,6.9899007314524555,804,614,713.0,846.0
420,7.006583072100313,776,595,779.0,844.0
421,7.023265412748171,760,580,847.0,814.0
422,7.03994775339603,750,572,905.0,772.0
423,7.0566300940438875,746,568,947.0,727.0
424,7.073312434691745,747,570,985.0,674.0
425,7.089994775339603,753,576,1009.0,631.0
426,7.106677115987461,763,585,1026.0,581.0
427,7.123359456635319,779,597,1035.0,536.0
428,7.1400417972831765,798,611,1037.0,502.0
429,7.156724137931034,822,625,1036.0,473.0
430,7.173406478578892,851,639,1034.0,451.0
431,7.190088819226751,881,651,1032.0,436.0
432,7.2067711598746085,912,658,1031.0,425.0
433,7.223453500522466,947,664,1031.0,417.0
434,7.240135841170324,981,668,1035.0,412.0
435,7.256818181818182,1015,668,1042.0,406.0
436,7.27350052246604,1049,662,1044.0,399.0
437,7.290182863113897,1079,656,1050.0,392.0
438,7.306865203761755,1109,648,,
439,7.323547544409614,1137,636,1061.0,377.0
440,7.340229885057472,1159,626,1069.0,370.0
441,7.356912225705329,1179,614,,
442,7.373594566353187,1196,603,,
443,7.390276907001045,1209,593,,
444,7.406959247648903,1218,585,,
445,7.423641588296761,1226,580,,
446,7.440323928944618,1229,577,,
447,7.457006269592476,1229,577,,
448,7.473688610240335,1228,578,,
449,7.490370950888193,1222,582,,
450,7.50705329153605,1215,589,,
451,7.523735632183908,1203,598,1011.0,418.0
452,7.540417972831766,1190,608,997.0,428.0
453,7.557100313479624,1174,618,976.0,444.0
454,7.5737826541274815,1154,628,950.0,463.0
455,7.590464994775339,1133,638,923.0,482.0
456,7.607147335423198,1110,647,891.0,505.0
457,7.623829676071056,1085,655,854.0,532.0
458,7.640512016718914,1058,661,817.0,563.0
459,7.657194357366771,1033,665,779.0,601.0
460,7.673876698014629,1001,667,744.0,650.0
461,7.690559038662487,972,668,716.0,702.0
462,7.707241379310345,939,663,700.0,757.0
463,7.7239237199582025,902,656,707.0,819.0
464,7.74060606060606,865,645,739.0,859.0
465,7.757288401253919,829,628,783.0,871.0
466,7.773970741901777,798,611,840.0,853.0
467,7.7906530825496345,777,596,887.0,821.0
468,7.807335423197492,763,584,923.0,780.0
469,7.82401776384535,754,577,955.0,734.0
470,7.840700104493208,750,572,979.0,690.0
471,7.857382445141066,749,572,997.0,651.0
472,7.874064785788923,753,575,1011.0,610.0
473,7.890747126436782,759,581,1020.0,578.0
474,7.90742946708464,768,589,1028.0,551.0
475,7.924111807732498,781,600,1034.0,527.0
476,7.9407941483803555,797,611,1041.0,511.0
477,7.957476489028213,815,621,1048.0,499.0
478,7.974158829676071,837,633,1059.0,492.0
479,7.990841170323929,860,644,1073.0,489.0
480,8.007523510971787,887,652,1091.0,489.0
481,8.024205851619644,914,659,1114.0,491.0
482,8.040888192267502,941,664,1141.0,497.0
483,8.05757053291536,968,667,1173.0,506.0
484,8.074252873563218,995,669,1210.0,520.0
485,8.090935214211076,1021,667,1248.0,538.0
486,8.107617554858935,1045,664,1285.0,563.0
487,8.124299895506793,1071,659,1321.0,596.0
488,8.14098223615465,1096,652,1350.0,637.0
489,8.157664576802508,1120,644,1367.0,682.0
490,8.174346917450366,1146,632,1370.0,737.0
491,8.191029258098224,1172,618,1351.0,783.0
492,8.207711598746082,1196,603,1315.0,813.0
493,8.22439393939394,1216,588,1261.0,826.0
494,8.241076280041797,1229,576,1209.0,821.0
495,8.257758620689655,1237,569,1157.0,806.0
496,8.274440961337513,1240,567,1111.0,784.0
497,8.29112330198537,1238,569,1070.0,762.0
498,8.307805642633229,1232,574,1034.0,739.0
499,8.324487983281086,1222,582,1000.0,717.0
500,8.341170323928944,1209,593,971.0,700.0
501,8.357852664576802,1192,606,945.0,689.0
502,8.37453500522466,1171,619,918.0,683.0
503,8.39121734587252,1147,632,892.0,685.0
504,8.407899686520377,1121,643,866.0,693.0
505,8.424582027168235,1092,654,838.0,710.0
506,8.441264367816093,1060,661,813.0,734.0
507,8.45794670846395,1030,666,790.0,761.0
508,8.474629049111808,993,668,771.0,798.0
509,8.491311389759666,957,666,763.0,832.0
510,8.507993730407524,918,660,767.0,861.0
511,8.524676071055381,877,648,788.0,880.0
512,8.54135841170324,842,635,815.0,879.0
513,8.558040752351097,812,619,843.0,864.0
514,8.574723092998955,787,602,867.0,839.0
515,8.591405433646813,769,589,885.0,812.0
516,8.60808777429467,755,578,899.0,786.0
517,8.624770114942528,745,569,910.0,762.0
518,8.641452455590386,739,564,920.0,743.0
519,8.658134796238244,736,560,928.0,729.0
520,8.674817136886103,736,560,935.0,720.0
521,8.691499477533961,738,562,942.0,717.0
522,8.708181818181819,742,566,948.0,720.0
523,8.724864158829677,750,574,955.0,729.0
524,8.741546499477534,760,583,961.0,743.0
525,8.758228840125392,775,594,966.0,762.0
526,8.77491118077325,793,607,971.0,787.0
527,8.791593521421108,814,620,973.0,815.0
528,8.808275862068966,839,633,971.0,845.0
529,8.824958202716823,871,647,961.0,878.0
530,8.841640543364681,904,657,945.0,900.0
531,8.858322884012539,945,666,926.0,909.0
532,8.875005224660397,990,668,910.0,900.0
533,8.891687565308255,1031,664,900.0,876.0
534,8.908369905956112,1065,660,900.0,849.0
535,8.92505224660397,1099,651,909.0,819.0
536,8.941734587251828,1128,640,922.0,791.0
537,8.958416927899687,1151,630,938.0,772.0
538,8.975099268547545,1173,617,956.0,757.0
539,8.991781609195403,1192,606,975.0,748.0
540,9.00846394984326,1205,596,994.0,745.0
541,9.025146290491119,1219,586,1016.0,748.0
542,9.041828631138976,1227,579,1040.0,755.0
543,9.058510971786834,1232,574,1063.0,766.0
544,9.075193312434692,1235,572,1090.0,781.0
545,9.09187565308255,1233,573,1120.0,798.0
546,9.108557993730408,1229,577,1150.0,815.0
547,9.125240334378265,1219,586,1184.0,831.0
548,9.141922675026123,1205,596,1224.0,841.0
549,9.15860501567398,1186,609,1258.0,842.0
550,9.175287356321839,1162,624,1290.0,830.0
551,9.191969696969696,1134,637,1312.0,803.0
552,9.208652037617554,1108,648,1318.0,775.0
553,9.225334378265412,1078,657,1312.0,742.0
554,9.242016718913272,1052,662,1297.0,715.0
555,9.25869905956113,1025,667,1277.0,693.0
556,9.275381400208987,998,668,1253.0,679.0
557,9.292063740856845,971,667,1227.0,670.0
558,9.308746081504703,947,665,1202.0,669.0
559,9.32542842215256,920,661,1176.0,674.0
560,9.342110762800418,897,655,1150.0,688.0
561,9.358793103448276,876,649,1125.0,706.0
562,9.375475444096134,856,641,1095.0,731.0
563,9.392157784743992,841,636,1060.0,761.0
564,9.40884012539185,830,631,1024.0,791.0
565,9.425522466039707,824,627,976.0,823.0
566,9.442204806687565,823,626,922.0,851.0
567,9.458887147335423,826,627,860.0,870.0
568,9.47556948798328,835,632,793.0,875.0
569,9.492251828631138,848,639,727.0,857.0
570,9.508934169278996,863,645,684.0,821.0
571,9.525616509926856,878,651,650.0,767.0
572,9.542298850574713,891,655,638.0,712.0
573,9.558981191222571,902,657,640.0,664.0
574,9.575663531870429,912,660,653.0,618.0
575,9.592345872518287,921,662,674.0,575.0
576,9.609028213166145,930,664,695.0,546.0
577,9.625710553814002,941,665,720.0,521.0
578,9.64239289446186,952,666,745.0,503.0
579,9.659075235109718,963,667,766.0,492.0
580,9.675757575757576,977,668,786.0,486.0
581,9.692439916405434,991,669,803.0,484.0
582,9.709122257053291,1005,669,815.0,486.0
583,9.72580459770115,1020,668,824.0,492.0
584,9.742486938349007,1037,665,831.0,503.0
585,9.759169278996865,1052,663,833.0,517.0
586,9.775851619644722,1067,660,835.0,538.0
587,9.79253396029258,1081,657,835.0,565.0
588,9.80921630094044,1092,653,837.0,595.0
589,9.825898641588298,1103,650,842.0,637.0
590,9.842580982236155,1110,648,853.0,685.0
591,9.859263322884013,1113,647,869.0,732.0
592,9.875945663531871,1112,647,896.0,785.0
593,9.892628004179729,1107,649,937.0,836.0
594,9.909310344827587,1096,652,989.0,876.0
595,9.925992685475444,1079,657,1050.0,900.0
596,9.942675026123302,1056,661,1117.0,897.0
597,9.95935736677116,1034,666,1172.0,865.0
598,9.976039707419018,1015,668,1211.0,816.0
599,9.992722048066875,1000,668,1232.0,756.0
600,10.009404388714733,990,668,1239.0,706.0
601,10.026086729362591,982,669,1236.0,654.0
602,10.042769070010449,975,669,1225.0,607.0
603,10.059451410658307,971,668,1211.0,571.0
604,10.076133751306164,968,666,1194.0,539.0
605,10.092816091954024,965,667,1176.0,514.0
606,10.109498432601882,962,668,1160.0,496.0
607,10.12618077324974,960,667,1144.0,480.0
608,10.142863113897597,958,666,1131.0,470.0
609,10.159545454545455,955,666,1122.0,465.0
610,10.176227795193313,953,665,1114.0,461.0
611,10.19291013584117,950,666,1110.0,459.0
612,10.209592476489028,948,665,1110.0,460.0
613,10.226274817136886,945,665,1112.0,464.0
614,10.242957157784744,943,665,1117.0,469.0
615,10.259639498432602,941,665,1124.0,478.0
616,10.27632183908046,938,665,1134.0,491.0
617,10.293004179728317,937,665,1146.0,507.0
618,10.309686520376175,936,664,1158.0,528.0
619,10.326368861024033,936,664,1172.0,557.0
620,10.34305120167189,937,664,1185.0,592.0
621,10.359733542319749,940,665,1194.0,630.0
622,10.376415882967608,944,666,1199.0,675.0
623,10.393098223615466,950,667,1194.0,729.0
624,10.409780564263324,960,668,1183.0,780.0
